cell,latitude,longitude,route_name,waypoint_id
4,58.97757596,5.72596554,Cruise_Stavanger_Skudefjorden_In_20210212,8
7,58.97757596,5.72596554,Cruise_Stavanger_Skudefjorden_In_20210212,8
6,58.97756611,5.72598921,Cruise_Stavanger_Feistein_Out_20210212,1
3,58.97756611,5.72598921,Cruise_Stavanger_Feistein_Out_20210212,1
4,58.97756611,5.72598921,Cruise_Stavanger_Feistein_Out_20210212,1
7,58.97756611,5.72598921,Cruise_Stavanger_Feistein_Out_20210212,1
6,58.98633212,5.71134896,Cruise_Stavanger_Feistein_Out_20210212,2
3,58.98633212,5.71134896,Cruise_Stavanger_Feistein_Out_20210212,2
4,58.98633212,5.71134896,Cruise_Stavanger_Feistein_Out_20210212,2
7,58.98633212,5.71134896,Cruise_Stavanger_Feistein_Out_20210212,2
6,59.0034202,5.69128408,Cruise_Stavanger_Feistein_Out_20210212,3
3,59.0034202,5.69128408,Cruise_Stavanger_Feistein_Out_20210212,3
4,59.0034202,5.69128408,Cruise_Stavanger_Feistein_Out_20210212,3
7,59.0034202,5.69128408,Cruise_Stavanger_Feistein_Out_20210212,3
7,59.03169439,5.62475297,Cruise_Stavanger_Feistein_Out_20210212,4
3,59.03169439,5.62475297,Cruise_Stavanger_Feistein_Out_20210212,4
4,59.03169439,5.62475297,Cruise_Stavanger_Feistein_Out_20210212,4
5,59.03169439,5.62475297,Cruise_Stavanger_Feistein_Out_20210212,4
6,59.03169439,5.62475297,Cruise_Stavanger_Feistein_Out_20210212,4
8,59.03169439,5.62475297,Cruise_Stavanger_Feistein_Out_20210212,4
7,59.06223487,5.57044147,Cruise_Stavanger_Feistein_Out_20210212,5
3,59.06223487,5.57044147,Cruise_Stavanger_Feistein_Out_20210212,5
4,59.06223487,5.57044147,Cruise_Stavanger_Feistein_Out_20210212,5
5,59.06223487,5.57044147,Cruise_Stavanger_Feistein_Out_20210212,5
6,59.06223487,5.57044147,Cruise_Stavanger_Feistein_Out_20210212,5
8,59.06223487,5.57044147,Cruise_Stavanger_Feistein_Out_20210212,5
7,59.03719746,5.53981905,Cruise_Stavanger_Feistein_Out_20210212,6
3,59.03719746,5.53981905,Cruise_Stavanger_Feistein_Out_20210212,6
4,59.03719746,5.53981905,Cruise_Stavanger_Feistein_Out_20210212,6
5,59.03719746,5.53981905,Cruise_Stavanger_Feistein_Out_20210212,6
6,59.03719746,5.53981905,Cruise_Stavanger_Feistein_Out_20210212,6
8,59.03719746,5.53981905,Cruise_Stavanger_Feistein_Out_20210212,6
6,59.01186667,5.53968815,Cruise_Stavanger_Feistein_Out_20210212,7
3,59.01186667,5.53968815,Cruise_Stavanger_Feistein_Out_20210212,7
4,59.01186667,5.53968815,Cruise_Stavanger_Feistein_Out_20210212,7
7,59.01186667,5.53968815,Cruise_Stavanger_Feistein_Out_20210212,7
6,58.97867789,5.55214898,Cruise_Stavanger_Feistein_Out_20210212,8
3,58.97867789,5.55214898,Cruise_Stavanger_Feistein_Out_20210212,8
4,58.97867789,5.55214898,Cruise_Stavanger_Feistein_Out_20210212,8
7,58.97867789,5.55214898,Cruise_Stavanger_Feistein_Out_20210212,8
6,58.92876049,5.54681321,Cruise_Stavanger_Feistein_Out_20210212,9
3,58.92876049,5.54681321,Cruise_Stavanger_Feistein_Out_20210212,9
4,58.92876049,5.54681321,Cruise_Stavanger_Feistein_Out_20210212,9
7,58.92876049,5.54681321,Cruise_Stavanger_Feistein_Out_20210212,9
3,58.86141213,5.50703709,Cruise_Stavanger_Feistein_Out_20210212,10
0,58.86141213,5.50703709,Cruise_Stavanger_Feistein_Out_20210212,10
1,58.86141213,5.50703709,Cruise_Stavanger_Feistein_Out_20210212,10
4,58.86141213,5.50703709,Cruise_Stavanger_Feistein_Out_20210212,10
6,58.86141213,5.50703709,Cruise_Stavanger_Feistein_Out_20210212,10
7,58.86141213,5.50703709,Cruise_Stavanger_Feistein_Out_20210212,10
3,58.7985905,5.38983562,Cruise_Stavanger_Feistein_Out_20210212,11
0,58.7985905,5.38983562,Cruise_Stavanger_Feistein_Out_20210212,11
1,58.7985905,5.38983562,Cruise_Stavanger_Feistein_Out_20210212,11
4,58.7985905,5.38983562,Cruise_Stavanger_Feistein_Out_20210212,11
6,58.7985905,5.38983562,Cruise_Stavanger_Feistein_Out_20210212,11
7,58.7985905,5.38983562,Cruise_Stavanger_Feistein_Out_20210212,11
